"","X","location","date","flight_dir","starttime","endtime","starttime2","endtime2","lon","lat"
"1",1,"Magnuson Park","7/2/21","landing from north","7/2/21 15:00","7/2/21 16:30",2021-07-02 15:00:00,2021-07-02 16:30:00,-122.251715895026,47.6744486690515
"2",2,"Magnuson Park","9/14/21","landing from north","9/14/21 11:00","9/14/21 13:30",2021-09-14 11:00:00,2021-09-14 13:30:00,-122.251634788832,47.6745496430919
"3",3,"Jefferson Park - Ecology AQ site","3/23/21","landing from north","3/23/21 11:00","3/23/21 12:50",2021-03-23 11:00:00,2021-03-23 12:50:00,NA,NA
"4",4,"Jefferson Park - Ecology AQ site","5/10/21","landing from north","5/10/21 10:50","5/10/21 12:25",2021-05-10 10:50:00,2021-05-10 12:25:00,NA,NA
"5",5,"Jefferson Park - Ecology AQ site","6/3/21","landing from north","6/3/21 14:35","6/3/21 16:25",2021-06-03 14:35:00,2021-06-03 16:25:00,-122.308770753335,47.5684048826728
"6",6,"Jefferson Park - Ecology AQ site","8/31/21","landing from north","8/31/21 11:45","8/31/21 12:50",2021-08-31 11:45:00,2021-08-31 12:50:00,-122.308776377657,47.5684382707018
"7",7,"Jefferson Park - Ecology AQ site","10/29/21","landing from north","10/29/21 15:30","10/29/21 16:55",2021-10-29 15:30:00,2021-10-29 16:55:00,-122.308809065475,47.568481719358
"8",8,"13th Ave S. & S. Dakota St.","8/31/21","landing from north","8/31/21 13:10","8/31/21 14:55",2021-08-31 13:10:00,2021-08-31 14:55:00,-122.31621994212,47.5670924856444
"9",9,"Judkins Park","5/10/21","taking off to north","5/10/21 12:45","5/10/21 13:55",2021-05-10 12:45:00,2021-05-10 13:55:00,NA,NA
"10",10,"Judkins Park","7/2/21","landing from north","7/2/21 11:10","7/2/21 12:45",2021-07-02 11:10:00,2021-07-02 12:45:00,-122.304621642209,47.5912348287519
"11",11,"12th Ave S. Viewpoint","5/20/21","landing from north","5/20/21 14:40","5/20/21 16:05",2021-05-20 14:40:00,2021-05-20 16:05:00,-122.317494870603,47.5782508244699
"12",12,"12th Ave S. Viewpoint","6/24/21","taking off to north","6/24/21 15:05","6/24/21 16:40",2021-06-24 15:05:00,2021-06-24 16:40:00,-122.317516588692,47.5783007904809
"13",13,"12th Ave S. Viewpoint","10/1/21","taking off to north","10/1/21 12:40","10/1/21 14:05",2021-10-01 12:40:00,2021-10-01 14:05:00,-122.31748111757,47.5782860224815
"14",14,"Rainier Beach Playfield","6/3/21","landing from north","6/3/21 13:00","6/3/21 14:15",2021-06-03 13:00:00,2021-06-03 14:15:00,-122.273695826695,47.5258938111303
"15",15,"Rainier Beach Playfield","7/1/21","landing from north","7/1/21 14:50","7/1/21 15:55",2021-07-01 14:50:00,2021-07-01 15:55:00,-122.273823294096,47.525909588749
"16",16,"Rainier Beach Playfield","10/1/21","taking off to north","10/1/21 10:50","10/1/21 12:20",2021-10-01 10:50:00,2021-10-01 12:20:00,-122.273411243066,47.525865898757
"17",17,"South Park Playground","5/20/21","landing from north","5/20/21 12:30","5/20/21 14:10",2021-05-20 12:30:00,2021-05-20 14:10:00,-122.32492425717,47.5280005298071
"18",18,"South Park Playground","9/16/21","taking off to north","9/16/21 11:00","9/16/21 12:20",2021-09-16 11:00:00,2021-09-16 12:20:00,-122.324829339637,47.528019513618
"19",19,"Hilltop Park","4/27/21","landing from north","4/27/21 15:00","4/27/21 15:55",2021-04-27 15:00:00,2021-04-27 15:55:00,NA,NA
"20",20,"Hilltop Park","6/1/21","taking off to north","6/1/21 13:10","6/1/21 14:35",2021-06-01 13:10:00,2021-06-01 14:35:00,-122.299750832241,47.4895499234607
"21",21,"Hilltop Park","8/5/21","landing from north","8/5/21 14:00","8/5/21 15:15",2021-08-05 14:00:00,2021-08-05 15:15:00,-122.299798043817,47.4896392917721
"22",22,"Southern Heights Park","3/4/21","landing from north","3/4/21 13:40","3/4/21 14:25",2021-03-04 13:40:00,2021-03-04 14:25:00,NA,NA
"23",23,"Southern Heights Park","5/13/21","taking off to north","5/13/21 11:50","5/13/21 14:55",2021-05-13 11:50:00,2021-05-13 14:55:00,-122.316039103848,47.4953569919364
"24",24,"Southern Heights Park","6/17/21","taking off to north","6/17/21 12:30","6/17/21 14:05",2021-06-17 12:30:00,2021-06-17 14:05:00,-122.31595923255,47.4954066569413
"25",25,"Mt. Rainier High School","7/1/21","taking off to south","7/1/21 12:45","7/1/21 14:05",2021-07-01 12:45:00,2021-07-01 14:05:00,-122.308879581309,47.3989787108215
"26",26,"Mt. Rainier High School","7/9/21","landing from south","7/9/21 12:50","7/9/21 14:05",2021-07-09 12:50:00,2021-07-09 14:05:00,-122.308935548935,47.3989822595885
"27",27,"Mt. Rainier High School","8/5/21","taking off to south","8/5/21 11:40","8/5/21 13:20",2021-08-05 11:40:00,2021-08-05 13:20:00,-122.308906991799,47.3990188266537
"28",28,"Saltwater St Pk","3/4/21","taking off to south","3/4/21 11:40","3/4/21 12:50",2021-03-04 11:40:00,2021-03-04 12:50:00,NA,NA
"29",29,"Saltwater St Pk","4/27/21","taking off to south","4/27/21 12:40","4/27/21 14:15",2021-04-27 12:40:00,2021-04-27 14:15:00,NA,NA
"30",30,"Saltwater St Pk","6/1/21","landing from south","6/1/21 11:00","6/1/21 12:25",2021-06-01 11:00:00,2021-06-01 12:25:00,NA,NA
"31",31,"Saltwater St Pk","6/24/21","taking off/landing to south","6/24/21 12:35","6/24/21 14:05",2021-06-24 12:35:00,2021-06-24 14:05:00,-122.323657768949,47.3753514969129
"32",32,"Saltwater St Pk","9/16/21","landing from south","9/16/21 13:05","9/16/21 15:05",2021-09-16 13:05:00,2021-09-16 15:05:00,-122.323494002921,47.3754043731149
